Source,Type,Target,Frequency,Architecture,Step,Step scope,Configuration,main,Baseline,MUL,tool,flow,Frontend,ISA,Pipeline,Cache,LoadBuff,PMP,SB,BitManip,MicroArch,MulDiv,RegisterFile,Shifter,Fmax,LUT_count,LUT_percent,Reg_count,Reg_percent,LUT+Reg_count,BRAM_count,BRAM_percent,DSP_count,DSP_percent,Static_Power,Dynamic_Power,Total_Power,Worst_Slack,Timestamp,_step_index,_last_step
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_base,AUBRAC,,,vivado,standard,FE_base,,,,,,,,,,,,120.0,2220,3.5,1783,1.41,4003,32,23.7,0,0.0,0.093,0.018,0.111,0.106,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_buf4,AUBRAC,,,vivado,standard,FE_buf4,,,,,,,,,,,,120.0,2218,3.5,1911,1.51,4129,32,23.7,0,0.0,0.093,0.019,0.112,0.238,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_if1,AUBRAC,,,vivado,standard,FE_if1,,,,,,,,,,,,118.0,2207,3.48,1848,1.46,4055,32,23.7,0,0.0,0.093,0.017,0.11,0.161,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_if1_buf4,AUBRAC,,,vivado,standard,FE_if1_buf4,,,,,,,,,,,,119.0,2221,3.5,1978,1.56,4199,32,23.7,0,0.0,0.093,0.019,0.112,0.293,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_nobuf,AUBRAC,,,vivado,standard,FE_nobuf,,,,,,,,,,,,115.0,2099,3.31,1715,1.35,3814,32,23.7,0,0.0,0.093,0.017,0.11,0.154,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+ISA_CSR,AUBRAC,,,vivado,standard,,CSR,,,,,,,,,,,115.0,1991,3.14,1649,1.3,3640,32,23.7,0,0.0,0.093,0.017,0.11,0.418,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+ISA_CSR_CNT,AUBRAC,,,vivado,standard,,CSR_CNT,,,,,,,,,,,115.0,2019,3.18,1777,1.4,3796,32,23.7,0,0.0,0.093,0.018,0.111,0.033,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+ISA_CSR_CNT_ZBS,AUBRAC,,,vivado,standard,,CSR_CNT_ZBS,,,,,,,,,,,122.0,2180,3.44,1778,1.4,3958,32,23.7,0,0.0,0.093,0.018,0.111,0.099,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+ISA_FULL,AUBRAC,,,vivado,standard,,FULL,,,,,,,,,,,120.0,2220,3.5,1783,1.41,4003,32,23.7,0,0.0,0.093,0.018,0.111,0.106,2026-09-10_15-47-53,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AUBRAC,pnr,last,AUBRAC+ISA_I,AUBRAC,,,vivado,standard,,I,,,,,,,,,,,122.0,1686,2.66,1337,1.05,3023,32,23.7,0,0.0,0.093,0.017,0.11,0.167,2026-09-10_15-47-53,1.0,True
